Identifier,POX-MVA,Sponsor,Author,Year,Enrolled_Participants,Arms_Eligible,Vaccine,Vaccinia_Status,Medical_Conditions,Doses,Eligible_age_range,Mean Age,ELISA OD EPT,LOD_Val
NCT00189956,4,BN,von Krempelhuber,2010,165,1,MVA-BN,Naïve,,2,18-30,23.2 (3),0.35,1
NCT00316524,5,BN,Zitzmann-Roth,2015,745,3,MVA-BN,Split,,"1,2",18-55,29.8 (9.07),,1
NCT01913353,6,BN,Pittman,2019,440,1,MVA-BN,Naïve,,2,18-42,23.5 (4.77),,1
NCT00316602,8,BN,Greenberg,2015,632,1,MVA-BN,Naïve,AD,2,18-40,27.4 (5.81),0.3,1
NCT00437021,9,NIAID,Frey,2013,206,3,MVA-BN,Naïve,,"1,2",18-38,,0.35,25
NCT00316589,11,BN,Overton,2015,581,2,MVA-BN,Split,HIV,2,18-55,28.9 (7.1),0.3,1
NCT01144637,13,BN,Overton,2018,4005,3,MVA-BN,Naïve,,2,18-40,27.7 (6.30),,1
NCT00686582,23,BN,Ilchman,2023,304,2,MVA-BN,Naïve,,1,18-55,34.6 (10.2),0.35,1
NCT00857493,24,BN,Greenberg,2016,120,2,MVA-BN,Experience,,2,56-80,63.7(5.7),0.3,1
NCT01668537,27,BN,,,651,3,MVA-BN,Naïve,,2,18-55,27.7 (6.28),,1
NCT00914732,29,NIAID,Frey,2015,523,2,MVA-BN,Naïve,,2,18-38,27 (4.5),0.35,25
NCT03699124,31,BN,Overton,2023,1129,3,MVA-BN,Naïve,,2,18-45,30.7 (7.36),,1
NCT01827371,36,NIAID,Jackson,2017,435,4,MVA-BN,Naïve,,2,18-40,27.4 (5.3),0.3,25
